bar_time,symbol,timeframe,open,high,low,close,tick_volume,source_path,source_row_number,contract_version
2023-01-01T22:00:00,AUDJPY,1H,89.054,89.199,88.854,89.189,219.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,2,purchased_csv_contract_v1
2023-01-01T23:00:00,AUDJPY,1H,89.26,89.267,89.092,89.267,201.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,3,purchased_csv_contract_v1
2023-01-02T00:00:00,AUDJPY,1H,89.267,89.352,89.108,89.203,181.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,4,purchased_csv_contract_v1
2023-01-02T01:00:00,AUDJPY,1H,89.203,89.241,89.162,89.178,327.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,5,purchased_csv_contract_v1
2023-01-02T02:00:00,AUDJPY,1H,89.176,89.229,89.176,89.216,145.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,6,purchased_csv_contract_v1
2023-01-02T03:00:00,AUDJPY,1H,89.216,89.218,89.102,89.128,190.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,7,purchased_csv_contract_v1
2023-01-02T04:00:00,AUDJPY,1H,89.128,89.142,89.1,89.116,310.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,8,purchased_csv_contract_v1
2023-01-02T05:00:00,AUDJPY,1H,89.117,89.139,89.088,89.118,830.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,9,purchased_csv_contract_v1
2023-01-02T06:00:00,AUDJPY,1H,89.118,89.18,89.106,89.127,511.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,10,purchased_csv_contract_v1
2023-01-02T07:00:00,AUDJPY,1H,89.128,89.132,89.062,89.1,633.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,11,purchased_csv_contract_v1
2023-01-02T08:00:00,AUDJPY,1H,89.1,89.182,89.046,89.064,810.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,12,purchased_csv_contract_v1
2023-01-02T09:00:00,AUDJPY,1H,89.064,89.077,88.91,88.932,1526.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,13,purchased_csv_contract_v1
2023-01-02T10:00:00,AUDJPY,1H,88.93,89.038,88.859,88.877,4165.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,14,purchased_csv_contract_v1
2023-01-02T11:00:00,AUDJPY,1H,88.879,89.032,88.87,88.996,1679.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,15,purchased_csv_contract_v1
2023-01-02T12:00:00,AUDJPY,1H,88.995,89.078,88.898,89.014,1502.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,16,purchased_csv_contract_v1
2023-01-02T13:00:00,AUDJPY,1H,89.017,89.018,88.882,88.91,1289.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,17,purchased_csv_contract_v1
2023-01-02T14:00:00,AUDJPY,1H,88.91,89.102,88.906,89.07,3213.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,18,purchased_csv_contract_v1
2023-01-02T15:00:00,AUDJPY,1H,89.056,89.172,89.049,89.164,6183.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,19,purchased_csv_contract_v1
2023-01-02T16:00:00,AUDJPY,1H,89.165,89.2,89.082,89.101,6244.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,20,purchased_csv_contract_v1
2023-01-02T17:00:00,AUDJPY,1H,89.101,89.151,89.082,89.132,4321.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,21,purchased_csv_contract_v1
2023-01-02T18:00:00,AUDJPY,1H,89.132,89.143,89.054,89.074,1758.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,22,purchased_csv_contract_v1
2023-01-02T19:00:00,AUDJPY,1H,89.073,89.112,89.0,89.004,933.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,23,purchased_csv_contract_v1
2023-01-02T20:00:00,AUDJPY,1H,89.004,89.044,88.875,88.934,305.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,24,purchased_csv_contract_v1
2023-01-02T21:00:00,AUDJPY,1H,88.934,88.974,88.781,88.824,230.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,25,purchased_csv_contract_v1
2023-01-02T22:00:00,AUDJPY,1H,88.869,88.93,88.691,88.809,341.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,26,purchased_csv_contract_v1
2023-01-02T23:00:00,AUDJPY,1H,88.826,89.322,88.814,89.04,6346.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,27,purchased_csv_contract_v1
2023-01-03T00:00:00,AUDJPY,1H,89.041,89.09,88.695,88.761,6848.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,28,purchased_csv_contract_v1
2023-01-03T01:00:00,AUDJPY,1H,88.762,88.774,88.015,88.261,10741.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,29,purchased_csv_contract_v1
2023-01-03T02:00:00,AUDJPY,1H,88.262,88.512,88.226,88.497,8515.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,30,purchased_csv_contract_v1
2023-01-03T03:00:00,AUDJPY,1H,88.494,88.702,88.484,88.661,7626.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,31,purchased_csv_contract_v1
2023-01-03T04:00:00,AUDJPY,1H,88.658,88.663,88.411,88.476,5758.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,32,purchased_csv_contract_v1
2023-01-03T05:00:00,AUDJPY,1H,88.478,88.503,88.165,88.222,7408.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,33,purchased_csv_contract_v1
2023-01-03T06:00:00,AUDJPY,1H,88.221,88.406,88.113,88.307,6845.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,34,purchased_csv_contract_v1
2023-01-03T07:00:00,AUDJPY,1H,88.307,88.468,88.288,88.305,9033.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,35,purchased_csv_contract_v1
2023-01-03T08:00:00,AUDJPY,1H,88.306,88.353,87.725,87.79,14403.0,D:\Stock\trading_assistant\legacy_analysis\data\AUDJPY_1h.csv,36,purchased_csv_contract_v1
