trade_date	board_level	code	name	level	continue_num	change_rate	latest	first_limit_up_time	last_limit_up_time	primary_theme	limit_up_type	high_days	open_num	trading_amount	order_amount	amount	turnover_rate	industry	kpl_primary_theme	kpl_theme_tags	kpl_plate_code	reason_type	tags	auto_position	change_tag	market_type	currency_value	actual_currency_value
20260810	5	600721	百花医药	5	5	9.962	11.59	1786325103	1786325103	医药	一字板	5天5板		59325246	449381856	449381856	1.3311	生物制药	医药	CRO|减肥药	801045	金华国资入主+CRO+创新药	总龙头|一字龙	总龙头	FIRST_LIMIT	HS	4456907100	3535218703
20260810	5	002552	宝鼎科技	5	5	10	52.36	1786325100	1786328211	通信	T字板	7天6板	3	1234617870	129915632	129915632	6.4547	元器件	通信	PCB铜箔|通信	801660	覆铜板+黄金+业绩预增+地方国资	高标龙|题材龙	题材龙	LIMIT_BACK	HS	19294832000	6944210113
20260810	3	600272	开开实业	3	3	10.0231	14.27	1786325101	1786325101	医药	一字板	3天3板		84254632	67479704	67479704	3.6902	医药商业	医药	医药零售|SPD	801045	SPD+医药商业+资产收购+上海国资			FIRST_LIMIT	HS	2283200000	1363983680
20260810	3	002827	高争民爆	3	3	10.0074	59.58	1786327122	1786327473	股权转让	换手板	9天7板	4	781698846	27671932	27671932	4.8515	化工原料	股权转让	股权转让|民用爆破	801273	控股股东拟变更+矿山投资开发+民爆+西藏国资			LIMIT_BACK	HS	16444004000	6942658503
20260810	2	603758	秦安股份	2	2	10.0191	11.53	1786325512	1786325512	机器人概念	换手板	2天2板		123553210	37381124	37381124	2.5284	汽车配件	机器人概念	机器人概念|汽车零部件	801159	人形机器人+真空镀膜+发动机核心零部件+回购注销	题材龙	题材龙	LIMIT_BACK	HS	4993828000	1717377464
20260810	2	600641	先导基电	2	2	10.0064	34.41	1786325563	1786325563	芯片	换手板	2天2板		990539594	162371904	162371904	3.1178	半导体	芯片	存储|地产链	801001	铟+铋材料+离子注入设备+半导体设备	题材龙	题材龙	LIMIT_BACK	HS	32022976000	24250999381
20260810	2	002589	瑞康医药	2	2	9.8684	3.34	1786326060	1786326060	医药	换手板	2天2板		556672039	104287096	104287096	12.3885	医药商业	医药	CDMO|新冠药概念	801045	创新药+AI应用+医药流通			FIRST_LIMIT	HS	4561075800	3733240517
20260810	2	600664	哈药股份	2	2	9.9415	7.52	1786325102	1786339259	医药	T字板	2天2板	1	990072047	316612160	316612160	5.2317	化学制药	医药	医药|流感	801045	创新药+集采拟中标+半年报预增			LIMIT_BACK	HS	18939194000	10117317577
20260810	2	000506	招金黄金	2	2	9.9835	19.94	1786341219	1786341219	黄金	换手板	2天2板		2294767518	38590044	38590044	13.0841	黄金	黄金	黄金|有色金属	801048	黄金+半年报预增+国企改革	题材龙	题材龙	FIRST_LIMIT	HS	18518417000	14273995670
20260810	2	688073	毕得医药	2	2	20	73.92	1786326766	1786341907	医药	换手板	2天2板	5	760585430	17335792	17335792	11.6166	化学制药	医药	创新药|医药	801045	创新药+药物分子砌块+ADC			LIMIT_BACK	STAR	6718067500	2472248845
20260810	2	002900	哈三联	2	2	10.0148	14.83	1786325418	1786343334	医药	换手板	5天3板	16	882898547	5857850	5857850	37.1589	化学制药	医药	医药|医美	801045	创新药+化学制药+中报预计减亏			LIMIT_BACK	HS	2389445200	1623389063
20260810	2	002437	誉衡药业	2	2	9.9359	3.43	1786325412	1786343979	医药	换手板	2天2板	25	1567556608	5694122	5694122	21.9742	化学制药	医药	创新药|民营医院	801045	创新药+集采放量+医药制造	中军	中军	LIMIT_BACK	HS	7203527700	7108441143
20260810	2	301080	百普赛斯	2	2	20	77.7	1786325400	1786344621	医药	换手板	2天2板	60	2264869005	3571868	3571868	23.3062	生物制药	医药	创新药|医药	801045	AI蛋白质设计+创新药+CGT+回购注销	中军	中军	LIMIT_BACK	GEM	9855262600	7624031117
20260810	1	300862	蓝盾光电	1	1	19.9895	22.81	1786325100	1786325100	并购重组	一字板	首板		20085071	1076291328	1076291328	0.5813	电器仪表	并购重组	并购重组|智能驾驶	801250	拟重大资产重组+复牌+真空镀膜设备+环境监测	题材龙|先导龙	题材龙	FIRST_LIMIT	GEM	3455053700	3206289805
20260810	1	002885	京泉华	1	1	9.9966	31.91	1786325400	1786325400	智能电网	一字板	首板		236467427	223296608	223296608	3.1234	元器件	智能电网	固态变压器|算力	801346	AI算力+中报预增+磁性元器件	题材龙|先导龙	题材龙	FIRST_LIMIT	HS	7570833400	5396490030
20260810	1	600683	京投发展	1	1	9.966	9.71	1786325434	1786325443	并购重组	换手板	首板	1	64566363	67714624	67714624	0.8993	区域地产	并购重组	并购重组|地产链	801250	资产重组+北京国资+拟购光电子资产+TOD			LIMIT_BACK	HS	7192950500	3180722696
20260810	1	001388	信通电子	1	1	10.0043	25.29	1786325100	1786325478	物理AI	T字板	首板	1	165327304	50119320	50119320	5.2383	电气设备	物理AI	物理AI|算力	803029	拟认购股权+物理AI+防冰除冰机器人+电网设备			LIMIT_BACK	HS	3164248700	2145677033
20260810	1	000802	北京文化	1	1	10.0703	4.7	1786325100	1786325538	文化传媒	T字板	首板	1	479987092	94861456	94861456	14.2811	影视音像	文化传媒	影视院线|文化传媒	801031	《欢迎来龙餐馆》定档+影视全产业链+演艺演出	题材龙|先导龙	题材龙	LIMIT_BACK	HS	3363056800	3132351125
20260810	1	002298	中电鑫龙	1	1	10.0118	9.34	1786325541	1786325541	智能电网	换手板	首板		355176702	156675696	156675696	5.8528	电气设备	智能电网	电气设备|智能电网	801346	算力基础设施+智能输配电+半年报预增			FIRST_LIMIT	HS	6171470300	6004223414
20260810	1	002626	金达威	1	1	10.0267	16.46	1786325643	1786325643	医药	换手板	首板		186646727	113628592	113628592	1.8765	医疗保健	医药	合成生物|医药	801045	辅酶Q10+NMN概念+外销	先导龙		FIRST_LIMIT	HS	10038312600	4677853665
20260810	1	000710	贝瑞基因	1	1	10.022	9.99	1786325664	1786325664	AI应用	换手板	首板		205478932	85456456	85456456	6.3905	医疗保健	AI应用	AI医疗|AI应用	803023	AI医疗+三代测序+基因检测NIPT	题材龙|先导龙	题材龙	FIRST_LIMIT	HS	3292003900	2830464979
20260810	1	002951	金时科技	1	1	10.0284	15.47	1786325760	1786325856	元器件	换手板	首板	1	110776873	90335520	90335520	1.8134	广告包装	元器件	超级电容|RWA	801445	超级电容+储能+中报预计减亏			LIMIT_BACK	HS	6205394900	1048711730
20260810	1	002370	亚太药业	1	1	10.0379	5.81	1786325850	1786325901	医药	换手板	首板	1	196798853	62677404	62677404	4.614	化学制药	医药	创新药|幽门螺杆菌	801045	创新药+化学制药+股份回购			LIMIT_BACK	HS	4332066900	3980303066
20260810	1	002458	益生股份	1	1	10.022	9.99	1786325901	1786325901	农业	换手板	首板		360006347	101026320	101026320	3.7732	农业综合	农业	鸡肉|农业	801464	鸡苗景气+种鸡龙头+种猪放量	题材龙|先导龙	题材龙	FIRST_LIMIT	HS	9714123700	8388145825
20260810	1	600490	鹏欣资源	1	1	10.0279	7.9	1786325101	1786325920	有色金属	T字板	首板	1	686712890	26552690	26552690	4.3894	铜	有色金属	有色金属|黄金	801088	黄金+铜+半年度预增+回购	题材龙|先导龙	题材龙	LIMIT_BACK	HS	15741709000	12069168251
20260810	1	605033	美邦股份	1	1	9.9888	19.6	1786326096	1786326165	农业	换手板	首板	1	104466930	29429400	29429400	3.9979	农药化肥	农业	农药|农业	801464	农药+半年报增长+西部大开发			LIMIT_BACK	HS	2649920000	723428160
20260810	1	605162	新中港	1	1	10.0236	9.33	1786326125	1786326182	电力	换手板	首板	1	197475177	74607344	74607344	4.9075	供气供热	电力	绿色电力|电力	801120	热电联产+电网储能+员工持股	题材龙|先导龙	题材龙	LIMIT_BACK	HS	4131756100	1341994375
20260810	1	002828	贝肯能源	1	1	10	12.87	1786326450	1786326450	石油石化	换手板	首板		314859483	119762560	119762560	12.4836	石油开采	石油石化	石油石化|基础建设	801057	油服工程+控制权变更+暂缓加拿大投资			FIRST_LIMIT	HS	2586710400	2246299321
20260810	1	603269	海鸥股份	1	1	9.9858	15.53	1786325748	1786326474	算力	换手板	首板	2	299053999	65189348	65189348	4.4937	机械基件	算力	液冷|算力	801807	数据中心液冷+核电冷却+冷却塔	题材龙|先导龙	题材龙	LIMIT_BACK	HS	6708113500	5031085095
20260810	1	603038	华立股份	1	1	10.0073	15.06	1786326663	1786326663	AI应用	换手板	首板		117061266	27811800	27811800	2.9667	家居用品	AI应用	AI应用|鸿蒙概念	803023	智慧水务+饰面板+业绩预增			LIMIT_BACK	HS	4046277200	2354528711
20260810	1	601606	长城军工	1	1	10.003	36.18	1786326854	1786326854	军工	换手板	首板		1367567487	163734864	163734864	5.4321	专用机械	军工	军工|军贸	801062	军工+弹药装备+兵装重组+央企	题材龙|先导龙	题材龙	LIMIT_BACK	HS	26202584000	10771882081
20260810	1	601886	江河集团	1	1	10.0363	9.1	1786326934	1786326973	光伏	换手板	首板	2	99064571	5653830	5653830	0.9843	装修装饰	光伏	光伏|民营医院	801070	BIPV+海外订单+民营医院			LIMIT_BACK	HS	10310318700	3384877644
20260810	1	002345	潮宏基	1	1	10.0094	11.65	1786327035	1786327035	黄金	换手板	首板		393649410	73898688	73898688	4.0006	服饰	黄金	黄金零售|平台经济	801048	黄金+国际金价上涨+一季报增长	中军|先导龙	中军	FIRST_LIMIT	HS	10103222100	6276121569
20260810	1	603382	海阳科技	1	1	10.011	20	1786326655	1786327183	化工	换手板	首板	5	137446977	10128000	10128000	6.037	化纤	化工	化工|绿色电力	801235	尼龙6+涤纶工业丝+智能制造	题材龙|先导龙	题材龙	LIMIT_BACK	HS	2309717700	1629505851
20260810	1	002474	榕基软件	1	1	10	7.04	1786326702	1786327338	AI应用	换手板	首板	1	316219152	59557096	59557096	8.6797	软件服务	AI应用	AI政务|AI应用	803023	AI政务+信创+数据要素			LIMIT_BACK	HS	3722978400	3534595678
20260810	1	605179	一鸣食品	1	1	9.9825	25.12	1786327185	1786327359	食品饮料	换手板	首板	1	740795956	33884368	33884368	7.7402	乳制品	食品饮料	乳业|食品饮料	801220	乳业+烘焙食品+冷链物流	题材龙|先导龙	题材龙	LIMIT_BACK	HS	10073120000	2097223584
20260810	1	600227	赤天化	1	1	9.8802	3.67	1786326656	1786327418	化工	换手板	首板	2	714031731	63346772	63346772	15.6932	农药化肥	化工	甲醇|民营医院	801235	甲醇+尿素+煤化工+中报预计扭亏			LIMIT_BACK	HS	4688791300	3873410473
20260810	1	002388	新亚制程	1	1	9.9617	5.74	1786327419	1786327419	锂电池	换手板	首板		298861283	54174116	54174116	10.5622	元器件	锂电池	电解液|化工	801004	六氟磷酸锂+胶粘剂+AI服务器电源+增持	题材龙|先导龙	题材龙	FIRST_LIMIT	HS	2905177300	2583574149
20260810	1	002399	海普瑞	1	1	10.0402	10.96	1786327413	1786327524	医药	换手板	首板	1	144664286	41152608	41152608	1.0897	化学制药	医药	创新药|医药	801045	创新药+依诺肝素制剂+集采中标			LIMIT_BACK	HS	13669331000	3050994606
20260810	1	002153	石基信息	1	1	9.9757	9.04	1786327536	1786327536	旅游	换手板	首板		360669245	150457952	150457952	2.5866	软件服务	旅游	酒店|AI应用	801330	AI智能体+酒店SaaS+并购重组获批	题材龙|先导龙	题材龙	FIRST_LIMIT	HS	14461865000	6995203997
