trade_date,symbol,asset_return_1d,asset_close,asset_pre_close,asset_universe_id
20251226,000001.SZ,-0.0017301038062285112,11.54,11.56,a5_top_liquid_20
20251226,000002.SZ,-0.0041753653444677186,4.77,4.79,a5_top_liquid_20
20251226,000651.SZ,-0.0036665851869958077,40.76,40.91,a5_top_liquid_20
20251226,000725.SZ,-0.004926108374384119,4.04,4.06,a5_top_liquid_20
20251226,002230.SZ,0.0018461538461538307,48.84,48.75,a5_top_liquid_20
20251226,002594.SZ,0.05451286377056097,100.01,94.84,a5_top_liquid_20
20251226,300750.SZ,0.0038068684485670357,374.43,373.01,a5_top_liquid_20
20251226,600019.SH,0.023676880222841312,7.35,7.18,a5_top_liquid_20
20251226,600030.SH,0.004834254143646355,29.1,28.96,a5_top_liquid_20
20251226,600050.SH,0.0,5.14,5.14,a5_top_liquid_20
20251226,600276.SH,-0.005537459283387558,61.06,61.4,a5_top_liquid_20
20251226,600309.SH,0.0035197497066876693,76.98,76.71,a5_top_liquid_20
20251226,600519.SH,-2.828514252173342e-05,1414.13,1414.17,a5_top_liquid_20
20251226,600760.SH,-0.010829694323144068,56.63,57.25,a5_top_liquid_20
20251226,600900.SH,0.0,27.64,27.64,a5_top_liquid_20
20251226,601012.SH,0.0410509031198687,19.02,18.27,a5_top_liquid_20
20251226,601225.SH,-0.002311604253351862,21.58,21.63,a5_top_liquid_20
20251226,601318.SH,0.005084745762711895,71.16,70.8,a5_top_liquid_20
20251226,601899.SH,0.04683109584764278,33.53,32.03,a5_top_liquid_20
20251226,688981.SH,-0.007962300942476519,122.1,123.08,a5_top_liquid_20
20251229,000001.SZ,0.0017331022530331364,11.56,11.54,a5_top_liquid_20
20251229,000002.SZ,-0.0062893081761005165,4.74,4.77,a5_top_liquid_20
20251229,000651.SZ,-0.0009813542688910104,40.72,40.76,a5_top_liquid_20
20251229,000725.SZ,0.022277227722772297,4.13,4.04,a5_top_liquid_20
20251229,002230.SZ,0.0036855036855036882,49.02,48.84,a5_top_liquid_20
20251229,002594.SZ,0.0019998000199978883,100.21,100.01,a5_top_liquid_20
20251229,300750.SZ,-0.013674117992682255,369.31,374.43,a5_top_liquid_20
