date,open,high,low,close,volume,amount,symbol,source_timeframe
2018-06-15,15.47401198,27.183382,15.47401198,27.183382,481215,23049375.64,300750.SZ,1d_to_1w
2018-06-22,29.9017202,37.29252274,29.9017202,34.1330957,131830069,8835791101.98,300750.SZ,1d_to_1w
2018-06-29,34.9793708,38.7491417,34.4151874,36.90785224,275453964,19648642163.04,300750.SZ,1d_to_1w
2018-07-06,36.30776626,38.210603,33.27656272,36.35392672,176213653,12220621123.37,300750.SZ,1d_to_1w
2018-07-13,36.3128952,45.37573218,35.44610434,42.4163338,207961452,16024314831.91,300750.SZ,1d_to_1w
2018-07-20,42.4163338,46.76567492,40.85713604,46.63745142,153014502,12850572490.07,300750.SZ,1d_to_1w
2018-07-27,45.647566,48.76596152,38.81068898,39.0055887,159331308,13512101269.50,300750.SZ,1d_to_1w
2018-08-03,39.236391,39.66722196,35.21530204,35.6974224,101246198,7384018046.52,300750.SZ,1d_to_1w
2018-08-10,35.389686,38.80556004,34.6716344,38.17982936,80591433,5837011647.87,300750.SZ,1d_to_1w
2018-08-17,37.441262,38.05160586,33.95871174,34.95885504,54542010,3857563891.39,300750.SZ,1d_to_1w
2018-08-24,34.81524472,36.5180528,33.851004,35.2871072,55685753,3834169226.67,300750.SZ,1d_to_1w
2018-08-31,35.17427052,38.11828208,33.34323894,33.594557,71645913,5065025941.37,300750.SZ,1d_to_1w
2018-09-07,33.2355312,33.27656272,30.93776608,32.47644808,55270303,3476467648.20,300750.SZ,1d_to_1w
2018-09-14,32.59954264,35.389686,31.286534,33.7997146,50974277,3303988204.78,300750.SZ,1d_to_1w
2018-09-21,33.11756558,35.8512906,32.30719306,35.48713586,42372167,2842019101.10,300750.SZ,1d_to_1w
2018-09-28,35.0819496,38.51321046,34.72805274,37.441262,45881530,3323785308.22,300750.SZ,1d_to_1w
2018-10-12,36.86682072,36.86682072,30.52232194,32.24051684,55079094,3585123966.71,300750.SZ,1d_to_1w
2018-10-19,35.2871072,38.08750844,33.60481488,37.83619038,69421863,4835924885.85,300750.SZ,1d_to_1w
2018-10-26,38.00031646,41.84189252,37.44639094,38.2618924,71949701,5581520826.97,300750.SZ,1d_to_1w
2018-11-02,38.43627636,40.32885522,35.84103272,40.25192112,58831529,4398920026.90,300750.SZ,1d_to_1w
2018-11-09,40.25192112,42.30349712,38.979944,39.8775085,51996886,4116777422.84,300750.SZ,1d_to_1w
2018-11-16,39.492838,42.9805172,39.3389698,41.08793834,57353905,4637613411.70,300750.SZ,1d_to_1w
2018-11-23,40.82123346,41.79060312,37.9028666,37.94389812,36771438,2858171919.98,300750.SZ,1d_to_1w
2018-11-30,37.8515772,41.800861,37.3386832,41.04690682,44286013,3435834129.24,300750.SZ,1d_to_1w
2018-12-07,42.32401288,42.82152006,40.518626,40.8776518,46643977,3790609976.39,300750.SZ,1d_to_1w
2018-12-14,40.7494283,42.30349712,39.3902592,40.69300996,34864317,2796533625.22,300750.SZ,1d_to_1w
2018-12-21,40.4160472,41.9034398,38.7747864,40.262179,37490204,2936571302.80,300750.SZ,1d_to_1w
2018-12-28,39.84160592,40.64172056,37.8515772,37.8515772,27963101,2142957123.76,300750.SZ,1d_to_1w
2019-01-04,38.0823795,39.61593256,37.18994394,39.47232224,16794330,1260598127.67,300750.SZ,1d_to_1w
2019-01-11,39.46206436,40.7494283,38.3644712,38.61578926,41455404,3195868606.64,300750.SZ,1d_to_1w
2019-01-18,38.6209182,39.84673486,37.954156,38.6722076,23519028,1788091916.60,300750.SZ,1d_to_1w
2019-01-25,38.48243682,40.41091826,37.95928494,39.71851136,27302189,2071435059.99,300750.SZ,1d_to_1w
2019-02-01,40.0570214,40.60581798,37.75412734,40.2108896,28200154,2157778021.37,300750.SZ,1d_to_1w
2019-02-15,40.51349706,45.58601872,40.50836812,42.27272348,44448252,3686649507.72,300750.SZ,1d_to_1w
2019-02-22,42.6471361,43.7498582,41.9547292,43.27286678,41460756,3467209264.84,300750.SZ,1d_to_1w
2019-03-01,43.99091838,47.63759472,43.7498582,46.17584682,52698505,4696668807.46,300750.SZ,1d_to_1w
2019-03-08,46.929801,48.80699304,43.45237968,43.58060318,57862372,5211365537.52,300750.SZ,1d_to_1w
2019-03-15,43.45750862,48.1351019,43.3651877,46.07326802,47499932,4257481362.17,300750.SZ,1d_to_1w
2019-03-22,46.10404166,47.12470072,43.70369774,44.40636252,37061860,3247598145.00,300750.SZ,1d_to_1w
2019-03-29,45.11928518,46.45793852,42.1085974,43.59599,45183870,3877054903.10,300750.SZ,1d_to_1w
2019-04-04,43.67805304,44.60126224,43.02154872,43.17028798,33344064,2834455888.01,300750.SZ,1d_to_1w
2019-04-12,43.44725074,43.7242135,41.32899852,42.04705012,49049520,4049436293.39,300750.SZ,1d_to_1w
2019-04-19,42.4676232,44.2627522,41.22129078,42.6727808,45572816,3834782166.34,300750.SZ,1d_to_1w
2019-04-26,42.67790974,42.8779384,38.47217894,40.6981389,32098654,2547443705.23,300750.SZ,1d_to_1w
2019-04-30,41.53928506,41.73418478,40.5955601,40.90842544,7897354,632029696.43,300750.SZ,1d_to_1w
2019-05-10,39.42616178,39.83134804,36.27186368,38.0054454,23975474,1795021499.47,300750.SZ,1d_to_1w
2019-05-17,37.4669067,38.5439841,36.54882644,37.0565915,22922711,1680659496.89,300750.SZ,1d_to_1w
2019-05-24,36.60524478,36.96939952,34.35876906,34.7998579,17833870,1232071148.56,300750.SZ,1d_to_1w
2019-05-31,34.87166306,36.86682072,34.71266592,35.61535936,18371586,1281424663.03,300750.SZ,1d_to_1w
2019-06-06,35.1845284,35.73332498,34.18951404,34.33312436,15177315,1032976933.80,300750.SZ,1d_to_1w
2019-06-14,34.7998579,38.04647692,32.825216,37.02068892,90285210,6261149280.95,300750.SZ,1d_to_1w
2019-06-21,37.0565915,37.86696402,35.0050155,35.43584646,59166790,4174998510.36,300750.SZ,1d_to_1w
2019-06-28,35.43584646,36.26673474,34.77934214,35.32813872,40363122,2796837297.66,300750.SZ,1d_to_1w
2019-07-05,35.90258,37.44639094,35.54868314,36.45650552,68407557,4875225111.65,300750.SZ,1d_to_1w
2019-07-12,36.17441382,38.07212162,34.82037366,37.89260872,50323055,3605369607.61,300750.SZ,1d_to_1w
2019-07-19,38.21573194,38.25163452,36.57447114,37.184815,35448668,2582922419.58,300750.SZ,1d_to_1w
2019-07-26,37.2568075,39.96499199,36.74805937,39.39457742,60571413,4581083748.42,300750.SZ,1d_to_1w
