date,open,high,low,close,volume,amount,symbol,source_timeframe
2024-01-05,13.54,13.58,12.45,12.56,39708486,512528800.99,300302.SZ,1d_to_1w
2024-01-12,12.53,12.65,11.68,11.89,45234107,547331165.27,300302.SZ,1d_to_1w
2024-01-19,11.9,12.12,11.02,11.12,36331094,418699573.05,300302.SZ,1d_to_1w
2024-01-26,11.15,11.25,10.1,10.84,48943362,522868160.40,300302.SZ,1d_to_1w
2024-02-02,10.84,10.97,8.15,8.55,63049212,597065617.79,300302.SZ,1d_to_1w
2024-02-08,8.49,8.49,6.51,8.07,95056059,702059374.95,300302.SZ,1d_to_1w
2024-02-23,8.25,9.8,8.21,9.75,133006644,1209267358.20,300302.SZ,1d_to_1w
2024-03-01,9.75,10.84,9.38,10.54,137707128,1400600142.93,300302.SZ,1d_to_1w
2024-03-08,10.75,11.93,9.88,11.56,149255239,1624387691.66,300302.SZ,1d_to_1w
2024-03-15,12.5,14.5,12.06,13.5,394159518,5189144416.52,300302.SZ,1d_to_1w
2024-03-22,13.28,14.85,12.94,14.32,256073714,3512852602.46,300302.SZ,1d_to_1w
2024-03-29,13.76,14,11.66,12.65,180275560,2279852333.47,300302.SZ,1d_to_1w
2024-04-03,12.58,13.56,11.91,12.9,95385381,1223597963.83,300302.SZ,1d_to_1w
2024-04-12,12.6,12.6,10.9,11.15,92544470,1077914698.34,300302.SZ,1d_to_1w
2024-04-19,10.92,11.19,9.19,9.97,104417310,1050652300.13,300302.SZ,1d_to_1w
2024-04-26,9.7,10.94,9.41,10.84,70499273,729298711.49,300302.SZ,1d_to_1w
2024-04-30,10.55,11.18,10.51,10.81,34694968,378297836.19,300302.SZ,1d_to_1w
2024-05-10,10.98,11.28,10.52,10.57,72079390,786445407.68,300302.SZ,1d_to_1w
2024-05-17,10.45,10.45,9.96,10.29,49079048,499542012.04,300302.SZ,1d_to_1w
2024-05-24,10.3,10.37,9.56,9.57,39987816,402148783.01,300302.SZ,1d_to_1w
2024-05-31,9.62,10.36,9.36,10.29,79933585,797237044.94,300302.SZ,1d_to_1w
2024-06-07,10.49,11.08,9.38,9.62,114967950,1179911836.32,300302.SZ,1d_to_1w
2024-06-14,9.54,10.52,9.47,10.21,69435073,708191590.18,300302.SZ,1d_to_1w
2024-06-21,10.15,10.63,9.6,9.88,80348278,824941762.86,300302.SZ,1d_to_1w
2024-06-28,9.8,9.84,8.53,9.13,76346296,700693506.12,300302.SZ,1d_to_1w
2024-07-05,9.1,9.66,8.79,9.04,51065943,469079046.98,300302.SZ,1d_to_1w
2024-07-12,8.96,9.47,8.81,9.19,42091549,385551484.7,300302.SZ,1d_to_1w
2024-07-19,10.5,10.63,9.64,10.42,148897126,1522711538.08,300302.SZ,1d_to_1w
2024-07-26,10.47,10.93,9.9,10.2,91867352,954899381.62,300302.SZ,1d_to_1w
2024-08-02,10.2,11.48,9.97,10.8,126139340,1362335657.80,300302.SZ,1d_to_1w
2024-08-09,10.58,10.82,9.7,10.03,84530613,864249608.55,300302.SZ,1d_to_1w
2024-08-16,10.03,10.77,9.74,10.49,68441402,703765370.04,300302.SZ,1d_to_1w
2024-08-23,10.46,10.62,9.91,10.1,56966238,587612722.51,300302.SZ,1d_to_1w
2024-08-30,10.24,11.8,9.67,11.35,84392464,895262886.01,300302.SZ,1d_to_1w
2024-09-06,11.25,11.38,10.3,10.35,88151942,956484842.72,300302.SZ,1d_to_1w
2024-09-13,10.23,10.85,10.04,10.59,87626210,913564352.37,300302.SZ,1d_to_1w
2024-09-20,10.5,10.84,10.03,10.65,81751106,857040668.23,300302.SZ,1d_to_1w
2024-09-27,10.56,12.59,10.54,12.49,206507792,2355028981.80,300302.SZ,1d_to_1w
2024-09-30,12.99,14.8,12.79,14.61,60055934,820826411.6,300302.SZ,1d_to_1w
2024-10-11,17.5,17.78,13.83,14.15,215864224,3515910352.19,300302.SZ,1d_to_1w
2024-10-18,14.22,17.5,14.07,16.84,272896519,4346077691.38,300302.SZ,1d_to_1w
2024-10-25,17.18,20.51,16.95,19.92,407483280,7691248933.97,300302.SZ,1d_to_1w
2024-11-01,20.11,21.9,16.45,16.49,315145421,6004442229.44,300302.SZ,1d_to_1w
2024-11-08,16.1,18.83,16.1,18.28,160219426,2788452714.73,300302.SZ,1d_to_1w
2024-11-15,18.4,19.17,16.46,16.48,131278179,2382864324.11,300302.SZ,1d_to_1w
2024-11-22,16.53,16.68,15.3,15.39,85919128,1371560675.92,300302.SZ,1d_to_1w
2024-11-29,15.62,16.55,14.86,16.27,77012950,1214760996.6,300302.SZ,1d_to_1w
2024-12-06,16.3,16.77,15.98,16.44,80558398,1315450423.24,300302.SZ,1d_to_1w
2024-12-13,16.3,17.83,15.93,17.36,114059936,1915920272.80,300302.SZ,1d_to_1w
2024-12-20,17.21,17.77,15.24,16.87,101176481,1679116539.28,300302.SZ,1d_to_1w
2024-12-27,16.98,18.66,15.08,17.16,121438175,2045359560.20,300302.SZ,1d_to_1w
2025-01-03,17.02,17.19,13.67,13.73,120725490,1918882552.05,300302.SZ,1d_to_1w
