legacy_repo_path	lifted_repo_path	size_bytes	mtime_utc	sha256
legacy_analysis/.cache/marketdata/XAUUSD/2026/03/01/00h_ticks.bi5	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/lifted_trading_analysis/.cache/marketdata/XAUUSD/2026/03/01/00h_ticks.bi5	69806	2026-04-25T19:47:49+00:00	3594fdc5b5a0ba43247573d42339d5b2d00701774192ba91ee1d0ce9c65c6762
legacy_analysis/.cache/mt5_exit_assistant_state.json	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/lifted_trading_analysis/.cache/mt5_exit_assistant_state.json	695	2026-06-04T17:49:09+00:00	979c3a535668bb1ff4b562519d6a05afcac743da965ccdd4d7462ab5301f65fa
legacy_analysis/.dc_cache/XAUUSD/2024/00/01_ask.csv.zst	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/lifted_trading_analysis/.dc_cache/XAUUSD/2024/00/01_ask.csv.zst	1289	2026-04-25T19:45:22+00:00	31cd0cf09a7d225bcdcf3d04d28f0ba1cc6ecea5e12dd669b29d043fc2292e79
legacy_analysis/.dc_cache/XAUUSD/2024/00/01_bid.csv.zst	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/lifted_trading_analysis/.dc_cache/XAUUSD/2024/00/01_bid.csv.zst	1310	2026-04-25T19:45:22+00:00	347ec69427c4080136d6717ed1bd2101d3e99ffcc4d18e4975d125a6998910ab
legacy_analysis/.dc_cache/XAUUSD/2024/00/02_ask.csv.zst	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/lifted_trading_analysis/.dc_cache/XAUUSD/2024/00/02_ask.csv.zst	29301	2026-04-25T19:45:26+00:00	775ba6cffa0479595186242183d691da3fd574fa3a6b9c851fa71e995d2f97c6
legacy_analysis/.dc_cache/XAUUSD/2024/00/02_bid.csv.zst	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/lifted_trading_analysis/.dc_cache/XAUUSD/2024/00/02_bid.csv.zst	29114	2026-04-25T19:45:26+00:00	0b4c845dcd865510158432acbc9a944a0d2430d026fdc63b2845ecc225ffb5b0
legacy_analysis/.dc_cache/XAUUSD/2024/00/03_ask.csv.zst	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/lifted_trading_analysis/.dc_cache/XAUUSD/2024/00/03_ask.csv.zst	29928	2026-04-25T19:45:32+00:00	0ae866eb6c2077260babea713d9a31627d82fae925162fb20f00bb4392bf56ca
legacy_analysis/.dc_cache/XAUUSD/2024/00/03_bid.csv.zst	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/lifted_trading_analysis/.dc_cache/XAUUSD/2024/00/03_bid.csv.zst	29491	2026-04-25T19:45:32+00:00	e1ac198a4f004d5bbb5de9089364e70f593f210629dddd569f201a4f746c6d40
legacy_analysis/.dc_cache/XAUUSD/2024/00/04_ask.csv.zst	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/lifted_trading_analysis/.dc_cache/XAUUSD/2024/00/04_ask.csv.zst	28888	2026-04-25T19:45:37+00:00	eae28467819d0e0a29c3179d2c1c5a657d0dfcf9d47d93d55789c37c53ff72c3
legacy_analysis/.dc_cache/XAUUSD/2024/00/04_bid.csv.zst	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/lifted_trading_analysis/.dc_cache/XAUUSD/2024/00/04_bid.csv.zst	27661	2026-04-25T19:45:37+00:00	463eca5b93a15b071b6f3fe9f9cd06ee270ddf9b9336aeb19fecf684fbe803ff
legacy_analysis/.dc_cache/XAUUSD/2024/00/05_ask.csv.zst	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/lifted_trading_analysis/.dc_cache/XAUUSD/2024/00/05_ask.csv.zst	28595	2026-04-25T19:45:44+00:00	ea3c2c2c763792ac25ba4b088b44d6e1776441dd24a11714e53ceac4f7368b9e
legacy_analysis/.dc_cache/XAUUSD/2024/00/05_bid.csv.zst	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/lifted_trading_analysis/.dc_cache/XAUUSD/2024/00/05_bid.csv.zst	27700	2026-04-25T19:45:44+00:00	34cfb0877fc92fa07171aff2b9c3657e868f051c0b70aedc7f307246902cfadf
legacy_analysis/.dc_cache/XAUUSD/2024/00/06_ask.csv.zst	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/lifted_trading_analysis/.dc_cache/XAUUSD/2024/00/06_ask.csv.zst	47	2026-04-25T19:45:48+00:00	dd08ca2f059c890d10ee21fcf075da5ca330aa804a506a28ecd96164011c02ef
legacy_analysis/.dc_cache/XAUUSD/2024/00/06_bid.csv.zst	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/lifted_trading_analysis/.dc_cache/XAUUSD/2024/00/06_bid.csv.zst	47	2026-04-25T19:45:48+00:00	dd08ca2f059c890d10ee21fcf075da5ca330aa804a506a28ecd96164011c02ef
legacy_analysis/.dc_cache/XAUUSD/2024/00/07_ask.csv.zst	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/lifted_trading_analysis/.dc_cache/XAUUSD/2024/00/07_ask.csv.zst	1268	2026-04-25T19:45:53+00:00	5f18d9c5b34ce28c5779f5ef301541c8367844acba74f33dcfab0fc566e0716e
legacy_analysis/.dc_cache/XAUUSD/2024/00/07_bid.csv.zst	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/lifted_trading_analysis/.dc_cache/XAUUSD/2024/00/07_bid.csv.zst	1284	2026-04-25T19:45:53+00:00	76c974839f87ae42b7ce2b9ad2dcd23b2b2f840c0c766fa59a33daa8ec4ec138
legacy_analysis/.dc_cache/XAUUSD/2024/00/08_ask.csv.zst	12_tooling_runtime_archive/batch_09_legacy_analysis_migration__20260707/lifted_trading_analysis/.dc_cache/XAUUSD/2024/00/08_ask.csv.zst	30608	2026-04-25T19:45:59+00:00	f892a7434b55b6a10cbf29ce1e5145191b9959e8ab67733de9d96bd40db5a877
