incoming_rel_path	mirror_rel_path	action	conflict_rel_path
D:\Stock\trading_assistant\10_source_library_archive\batch_09_legacy_source_library_alignment__20260707\mirror_kimi_inbox_incoming\GROUP_08_A股量化_数据研究__SOURCE_RAW\新的参考书\《Python股票量化交易从入门到实践》完整版\1.量化策略代码(99份)（赠品）\01 AdaptiveMA自适应均线 过滤器 期货多品种模型 收益稳定增长.txt	GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/1.量化策略代码(99份)（赠品）/01 AdaptiveMA自适应均线 过滤器 期货多品种模型 收益稳定增长.txt	COPIED
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/1.量化策略代码(99份)（赠品）/02 我好像破解了聚宽擂台排第一的策略？！.txt	GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/1.量化策略代码(99份)（赠品）/02 我好像破解了聚宽擂台排第一的策略？！.txt	COPIED
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/1.量化策略代码(99份)（赠品）/03 机器学习多因子策略.txt	GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/1.量化策略代码(99份)（赠品）/03 机器学习多因子策略.txt	COPIED
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/1.量化策略代码(99份)（赠品）/04 趋势交易能赚钱吗？商品期货动量效应挖掘初探.txt	GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/1.量化策略代码(99份)（赠品）/04 趋势交易能赚钱吗？商品期货动量效应挖掘初探.txt	COPIED
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/1.量化策略代码(99份)（赠品）/05 兄台且慢，去天台排队不如看看这个策略先.txt	GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/1.量化策略代码(99份)（赠品）/05 兄台且慢，去天台排队不如看看这个策略先.txt	COPIED
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/1.量化策略代码(99份)（赠品）/06 为什么股票市值是当前的样子？.txt	GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/1.量化策略代码(99份)（赠品）/06 为什么股票市值是当前的样子？.txt	COPIED
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/1.量化策略代码(99份)（赠品）/07 穿越牛熊基业长青的价值精选策略.txt	GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/1.量化策略代码(99份)（赠品）/07 穿越牛熊基业长青的价值精选策略.txt	COPIED
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/1.量化策略代码(99份)（赠品）/08 MACD单因子多头策略.txt	GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/1.量化策略代码(99份)（赠品）/08 MACD单因子多头策略.txt	COPIED
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/1.量化策略代码(99份)（赠品）/09 商品期货 多品种日频双均线模型 作为给入门者的小礼物.txt	GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/1.量化策略代码(99份)（赠品）/09 商品期货 多品种日频双均线模型 作为给入门者的小礼物.txt	COPIED
10_source_library_archive/batch_09_legacy_source_library_alignment__20260707/mirror_kimi_inbox_incoming/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/1.量化策略代码(99份)（赠品）/10 追三板策略.txt	GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/1.量化策略代码(99份)（赠品）/10 追三板策略.txt	COPIED
