artifact_file	repo_path	producer	scope	evidence_mode	status	note
blogroom_codes_20260511.csv	12_tooling_runtime_archive/batch_09_watchlist_ocr_artifacts__20260708/artifacts/ashare_watchlist_blogroom/blogroom_codes_20260511.csv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_watchlist_tripartite_v1.py	batch09 ashare_watchlist blogroom/mx2025 OCR extraction	historical_recovered	promoted	从 batch09 ashare_watchlist 归位到 OCR/提取运行产物层，不冒充正式 runtime 输入
blogroom_codes_20260511_easyocr_full.csv	12_tooling_runtime_archive/batch_09_watchlist_ocr_artifacts__20260708/artifacts/ashare_watchlist_blogroom/blogroom_codes_20260511_easyocr_full.csv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_watchlist_tripartite_v1.py	batch09 ashare_watchlist blogroom/mx2025 OCR extraction	historical_recovered	promoted	从 batch09 ashare_watchlist 归位到 OCR/提取运行产物层，不冒充正式 runtime 输入
blogroom_codes_20260511_easyocr_gpu.csv	12_tooling_runtime_archive/batch_09_watchlist_ocr_artifacts__20260708/artifacts/ashare_watchlist_blogroom/blogroom_codes_20260511_easyocr_gpu.csv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_watchlist_tripartite_v1.py	batch09 ashare_watchlist blogroom/mx2025 OCR extraction	historical_recovered	promoted	从 batch09 ashare_watchlist 归位到 OCR/提取运行产物层，不冒充正式 runtime 输入
blogroom_codes_20260511_easyocr_v2.csv	12_tooling_runtime_archive/batch_09_watchlist_ocr_artifacts__20260708/artifacts/ashare_watchlist_blogroom/blogroom_codes_20260511_easyocr_v2.csv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_watchlist_tripartite_v1.py	batch09 ashare_watchlist blogroom/mx2025 OCR extraction	historical_recovered	promoted	从 batch09 ashare_watchlist 归位到 OCR/提取运行产物层，不冒充正式 runtime 输入
blogroom_codes_20260511_v2.csv	12_tooling_runtime_archive/batch_09_watchlist_ocr_artifacts__20260708/artifacts/ashare_watchlist_blogroom/blogroom_codes_20260511_v2.csv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_watchlist_tripartite_v1.py	batch09 ashare_watchlist blogroom/mx2025 OCR extraction	historical_recovered	promoted	从 batch09 ashare_watchlist 归位到 OCR/提取运行产物层，不冒充正式 runtime 输入
blogroom_names_20260511_easyocr_full.csv	12_tooling_runtime_archive/batch_09_watchlist_ocr_artifacts__20260708/artifacts/ashare_watchlist_blogroom/blogroom_names_20260511_easyocr_full.csv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_watchlist_tripartite_v1.py	batch09 ashare_watchlist blogroom/mx2025 OCR extraction	historical_recovered	promoted	从 batch09 ashare_watchlist 归位到 OCR/提取运行产物层，不冒充正式 runtime 输入
blogroom_names_20260511_mx.csv	12_tooling_runtime_archive/batch_09_watchlist_ocr_artifacts__20260708/artifacts/ashare_watchlist_blogroom/blogroom_names_20260511_mx.csv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_watchlist_tripartite_v1.py	batch09 ashare_watchlist blogroom/mx2025 OCR extraction	historical_recovered	promoted	从 batch09 ashare_watchlist 归位到 OCR/提取运行产物层，不冒充正式 runtime 输入
blogroom_names_20260511_mx_msg.csv	12_tooling_runtime_archive/batch_09_watchlist_ocr_artifacts__20260708/artifacts/ashare_watchlist_blogroom/blogroom_names_20260511_mx_msg.csv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_watchlist_tripartite_v1.py	batch09 ashare_watchlist blogroom/mx2025 OCR extraction	historical_recovered	promoted	从 batch09 ashare_watchlist 归位到 OCR/提取运行产物层，不冒充正式 runtime 输入
blogroom_names_20260511_mx_msg_v2.csv	12_tooling_runtime_archive/batch_09_watchlist_ocr_artifacts__20260708/artifacts/ashare_watchlist_blogroom/blogroom_names_20260511_mx_msg_v2.csv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_watchlist_tripartite_v1.py	batch09 ashare_watchlist blogroom/mx2025 OCR extraction	historical_recovered	promoted	从 batch09 ashare_watchlist 归位到 OCR/提取运行产物层，不冒充正式 runtime 输入
blogroom_topics_20260511_easyocr_full.csv	12_tooling_runtime_archive/batch_09_watchlist_ocr_artifacts__20260708/artifacts/ashare_watchlist_blogroom/blogroom_topics_20260511_easyocr_full.csv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_watchlist_tripartite_v1.py	batch09 ashare_watchlist blogroom/mx2025 OCR extraction	historical_recovered	promoted	从 batch09 ashare_watchlist 归位到 OCR/提取运行产物层，不冒充正式 runtime 输入
blogroom_topics_20260511_mx.csv	12_tooling_runtime_archive/batch_09_watchlist_ocr_artifacts__20260708/artifacts/ashare_watchlist_blogroom/blogroom_topics_20260511_mx.csv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_watchlist_tripartite_v1.py	batch09 ashare_watchlist blogroom/mx2025 OCR extraction	historical_recovered	promoted	从 batch09 ashare_watchlist 归位到 OCR/提取运行产物层，不冒充正式 runtime 输入
blogroom_topics_20260511_mx_msg.csv	12_tooling_runtime_archive/batch_09_watchlist_ocr_artifacts__20260708/artifacts/ashare_watchlist_blogroom/blogroom_topics_20260511_mx_msg.csv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_watchlist_tripartite_v1.py	batch09 ashare_watchlist blogroom/mx2025 OCR extraction	historical_recovered	promoted	从 batch09 ashare_watchlist 归位到 OCR/提取运行产物层，不冒充正式 runtime 输入
blogroom_topics_20260511_mx_msg_v2.csv	12_tooling_runtime_archive/batch_09_watchlist_ocr_artifacts__20260708/artifacts/ashare_watchlist_blogroom/blogroom_topics_20260511_mx_msg_v2.csv	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_watchlist_tripartite_v1.py	batch09 ashare_watchlist blogroom/mx2025 OCR extraction	historical_recovered	promoted	从 batch09 ashare_watchlist 归位到 OCR/提取运行产物层，不冒充正式 runtime 输入
blogroom_summary_20260511.jsonl	12_tooling_runtime_archive/batch_09_watchlist_ocr_artifacts__20260708/artifacts/ashare_watchlist_blogroom/blogroom_summary_20260511.jsonl	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_watchlist_tripartite_v1.py	batch09 ashare_watchlist blogroom/mx2025 OCR extraction	historical_recovered	promoted	从 batch09 ashare_watchlist 归位到 OCR/提取运行产物层，不冒充正式 runtime 输入
blogroom_summary_20260511_easyocr_full.jsonl	12_tooling_runtime_archive/batch_09_watchlist_ocr_artifacts__20260708/artifacts/ashare_watchlist_blogroom/blogroom_summary_20260511_easyocr_full.jsonl	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_watchlist_tripartite_v1.py	batch09 ashare_watchlist blogroom/mx2025 OCR extraction	historical_recovered	promoted	从 batch09 ashare_watchlist 归位到 OCR/提取运行产物层，不冒充正式 runtime 输入
blogroom_summary_20260511_easyocr_gpu.jsonl	12_tooling_runtime_archive/batch_09_watchlist_ocr_artifacts__20260708/artifacts/ashare_watchlist_blogroom/blogroom_summary_20260511_easyocr_gpu.jsonl	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_watchlist_tripartite_v1.py	batch09 ashare_watchlist blogroom/mx2025 OCR extraction	historical_recovered	promoted	从 batch09 ashare_watchlist 归位到 OCR/提取运行产物层，不冒充正式 runtime 输入
blogroom_summary_20260511_easyocr_v2.jsonl	12_tooling_runtime_archive/batch_09_watchlist_ocr_artifacts__20260708/artifacts/ashare_watchlist_blogroom/blogroom_summary_20260511_easyocr_v2.jsonl	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_watchlist_tripartite_v1.py	batch09 ashare_watchlist blogroom/mx2025 OCR extraction	historical_recovered	promoted	从 batch09 ashare_watchlist 归位到 OCR/提取运行产物层，不冒充正式 runtime 输入
blogroom_summary_20260511_v2.jsonl	12_tooling_runtime_archive/batch_09_watchlist_ocr_artifacts__20260708/artifacts/ashare_watchlist_blogroom/blogroom_summary_20260511_v2.jsonl	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_watchlist_tripartite_v1.py	batch09 ashare_watchlist blogroom/mx2025 OCR extraction	historical_recovered	promoted	从 batch09 ashare_watchlist 归位到 OCR/提取运行产物层，不冒充正式 runtime 输入
mx2025_summary_20260511_mx.jsonl	12_tooling_runtime_archive/batch_09_watchlist_ocr_artifacts__20260708/artifacts/ashare_watchlist_blogroom/mx2025_summary_20260511_mx.jsonl	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_watchlist_tripartite_v1.py	batch09 ashare_watchlist blogroom/mx2025 OCR extraction	historical_recovered	promoted	从 batch09 ashare_watchlist 归位到 OCR/提取运行产物层，不冒充正式 runtime 输入
mx2025_summary_20260511_mx_msg.jsonl	12_tooling_runtime_archive/batch_09_watchlist_ocr_artifacts__20260708/artifacts/ashare_watchlist_blogroom/mx2025_summary_20260511_mx_msg.jsonl	02_runtime/butler_r0_ohlcv_object_cards/promote_batch09_watchlist_tripartite_v1.py	batch09 ashare_watchlist blogroom/mx2025 OCR extraction	historical_recovered	promoted	从 batch09 ashare_watchlist 归位到 OCR/提取运行产物层，不冒充正式 runtime 输入
