trade_date,symbol,symbol_name,open,high,low,close,pre_close,volume,amount,data_source,asof_date,notes
20250909,000001.SZ,平安银行,11.71,11.78,11.68,11.75,11.7,860539.17,1009279.729,tushare:daily,20250909,daily_ohlcv_raw_from_tushare
20250909,000002.SZ,万科A,6.79,6.91,6.74,6.86,6.76,2179398.04,1494592.694,tushare:daily,20250909,daily_ohlcv_raw_from_tushare
20250909,000651.SZ,格力电器,41.44,41.67,41.26,41.34,41.42,666713.52,2763193.803,tushare:daily,20250909,daily_ohlcv_raw_from_tushare
20250909,000725.SZ,京东方A,4.12,4.13,4.06,4.1,4.13,4612171.73,1887151.035,tushare:daily,20250909,daily_ohlcv_raw_from_tushare
20250909,002230.SZ,科大讯飞,52.01,52.32,50.28,50.31,52.7,673738.79,3433665.891,tushare:daily,20250909,daily_ohlcv_raw_from_tushare
20250909,002594.SZ,比亚迪,106.0,107.2,105.27,105.49,106.25,381636.22,4049249.507,tushare:daily,20250909,daily_ohlcv_raw_from_tushare
20250909,300750.SZ,宁德时代,322.8,334.58,317.16,320.0,325.37,434023.97,14085497.658,tushare:daily,20250909,daily_ohlcv_raw_from_tushare
20250909,600019.SH,宝钢股份,7.0,7.21,6.98,7.07,7.02,1151744.91,819669.847,tushare:daily,20250909,daily_ohlcv_raw_from_tushare
20250909,600030.SH,中信证券,29.45,29.74,29.38,29.52,29.45,1179284.05,3481157.225,tushare:daily,20250909,daily_ohlcv_raw_from_tushare
20250909,600050.SH,中国联通,5.61,5.62,5.47,5.47,5.65,8616784.1,4765844.57,tushare:daily,20250909,daily_ohlcv_raw_from_tushare
20250909,600276.SH,恒瑞医药,72.17,74.04,70.48,71.09,72.31,767670.09,5517534.684,tushare:daily,20250909,daily_ohlcv_raw_from_tushare
20250909,600309.SH,万华化学,69.65,70.2,67.82,68.52,69.6,403632.65,2786129.201,tushare:daily,20250909,daily_ohlcv_raw_from_tushare
20250909,600519.SH,贵州茅台,1505.0,1509.95,1493.42,1505.0,1501.23,35742.77,5366650.005,tushare:daily,20250909,daily_ohlcv_raw_from_tushare
20250909,600760.SH,中航沈飞,54.63,56.9,54.36,55.67,54.59,356480.33,1994602.216,tushare:daily,20250909,daily_ohlcv_raw_from_tushare
20250909,600900.SH,长江电力,28.16,28.2,27.96,28.01,28.15,761316.32,2134208.194,tushare:daily,20250909,daily_ohlcv_raw_from_tushare
20250909,601012.SH,隆基绿能,17.81,18.05,17.53,17.61,17.99,1468569.09,2603150.424,tushare:daily,20250909,daily_ohlcv_raw_from_tushare
20250909,601225.SH,陕西煤业,20.25,20.4,20.16,20.28,20.25,318817.54,646082.238,tushare:daily,20250909,daily_ohlcv_raw_from_tushare
20250909,601318.SH,中国平安,57.76,58.29,57.55,58.0,57.7,518911.44,3004298.501,tushare:daily,20250909,daily_ohlcv_raw_from_tushare
