date,open,high,low,close,volume,amount,pct_chg,symbol,provider_code
2024-01-02,13.5400000000,13.5800000000,12.8300000000,12.8700000000,15376081,200534441.0000,-4.948300,300302.SZ,sz.300302
2024-01-03,12.8800000000,13.0700000000,12.6900000000,12.9400000000,8551791,110116199.8900,0.543900,300302.SZ,sz.300302
2024-01-04,12.8900000000,13.0900000000,12.6800000000,12.8300000000,8036706,103882896.7400,-0.850100,300302.SZ,sz.300302
2024-01-05,12.8600000000,12.9200000000,12.4500000000,12.5600000000,7743908,97995263.3600,-2.104400,300302.SZ,sz.300302
2024-01-08,12.5300000000,12.6500000000,12.2600000000,12.2600000000,6956957,86019148.0200,-2.388500,300302.SZ,sz.300302
2024-01-09,12.3500000000,12.5300000000,12.0700000000,12.2100000000,8148244,100145522.7800,-0.407800,300302.SZ,sz.300302
2024-01-10,12.2100000000,12.2800000000,11.6800000000,11.8100000000,10533896,124994053.3400,-3.276000,300302.SZ,sz.300302
2024-01-11,11.8200000000,12.2300000000,11.8200000000,12.1800000000,12178309,147326460.4400,3.132900,300302.SZ,sz.300302
2024-01-12,12.1700000000,12.1800000000,11.8600000000,11.8900000000,7416701,88845980.6900,-2.381000,300302.SZ,sz.300302
2024-01-15,11.9000000000,12.1200000000,11.7700000000,11.9300000000,5834400,69868784.0000,0.336400,300302.SZ,sz.300302
2024-01-16,11.9000000000,11.9900000000,11.5300000000,11.7900000000,8581539,100433290.2800,-1.173500,300302.SZ,sz.300302
2024-01-17,11.7600000000,11.8000000000,11.4000000000,11.4200000000,5998473,69485742.8300,-3.138300,300302.SZ,sz.300302
2024-01-18,11.2800000000,11.4700000000,11.0200000000,11.4000000000,8874646,99472162.7400,-0.175100,300302.SZ,sz.300302
2024-01-19,11.4200000000,11.5400000000,11.1100000000,11.1200000000,7042036,79439593.2000,-2.456100,300302.SZ,sz.300302
2024-01-22,11.1500000000,11.2500000000,10.1900000000,10.3500000000,10927000,117017656.0000,-6.924500,300302.SZ,sz.300302
2024-01-23,10.3000000000,10.6300000000,10.2400000000,10.5200000000,9284609,97377407.7700,1.642500,300302.SZ,sz.300302
2024-01-24,10.5900000000,10.6600000000,10.1000000000,10.5200000000,8293030,86059461.4500,0.000000,300302.SZ,sz.300302
2024-01-25,10.6500000000,11.0100000000,10.4300000000,10.9800000000,11226428,121360627.2800,4.372600,300302.SZ,sz.300302
2024-01-26,10.8800000000,11.1200000000,10.8200000000,10.8400000000,9212295,101053007.9000,-1.275000,300302.SZ,sz.300302
2024-01-29,10.8400000000,10.9700000000,10.3100000000,10.3500000000,8803035,92488017.3900,-4.520300,300302.SZ,sz.300302
2024-01-30,10.4100000000,10.4800000000,9.9400000000,9.9500000000,8295989,84447519.4800,-3.864700,300302.SZ,sz.300302
2024-01-31,9.8500000000,9.9700000000,9.0300000000,9.0600000000,17143536,162137980.5100,-8.944700,300302.SZ,sz.300302
