symbol,000001.SZ,000002.SZ,000651.SZ,000725.SZ,002230.SZ,002594.SZ,300750.SZ,600019.SH,600030.SH,600050.SH,600276.SH,600309.SH,600519.SH,600760.SH,600900.SH,601012.SH,601225.SH,601318.SH,601899.SH,688981.SH
000001.SZ,0.00027057897201364313,0.0001649495628238317,0.00018992398006938653,-0.00015411723044891988,-4.932419835232023e-05,0.00010765189804314579,-2.1818574235800766e-06,0.00018150877584045342,8.744008798500194e-05,0.0001497564501621629,0.0001561950165291614,0.00011051665278029803,0.00018836406178445006,0.00016926451035234973,0.00020745328522628697,2.6616951502653358e-05,0.00026221639318567717,0.00015182186620791877,-4.568035088742468e-05,-0.0002596493009466288
000002.SZ,0.0001649495628238317,0.000432517246751648,0.0001846568467177316,-0.00030781210460702814,-6.15840309315337e-05,6.401717491281337e-05,3.015154745754383e-05,0.00017446894642895888,0.0001026063166017174,0.0001285865830402585,0.00017774627083975983,7.734869482097e-05,0.00016221115837216428,0.00017746105251249285,0.00015840000881337812,7.893592508969844e-05,0.00018530885358871533,0.00014709346432684932,2.4232491305931324e-05,-0.0002541547830551235
000651.SZ,0.00018992398006938653,0.0001846568467177316,0.00024697542279852717,-0.00017706577030547965,-9.154513543262039e-05,9.231468644608565e-05,2.280823965219063e-05,0.00017638074699908817,5.1019608899391676e-05,0.00011843718410051263,0.00016783208032791685,7.815568750354773e-05,0.00017972786983384907,9.324385047080396e-05,0.0001775334280812375,-4.98973377634656e-06,0.00026553329065126085,0.00011217203204033371,-5.632675330811176e-05,-0.00024787207803020155
000725.SZ,-0.00015411723044891988,-0.00030781210460702814,-0.00017706577030547965,0.00149747762385089,0.00015339747976868032,-0.00010557199723238817,-0.00018113331549524163,-0.00015949889232164805,-7.829905070834551e-05,-0.00013611324680368352,-0.00022669254340936486,-7.798425495756053e-05,-0.00018306064713226932,-0.00011854284385631147,-8.840933533864649e-05,-3.413231329582953e-05,-0.00023281373698753747,-0.0001083550588855878,2.8448693542210372e-05,2.8920079997539566e-05
002230.SZ,-4.932419835232023e-05,-6.15840309315337e-05,-9.154513543262039e-05,0.00015339747976868032,0.00031386431470405526,-2.3775516278482102e-05,4.831473984411913e-06,-4.6386467823593374e-05,-3.2117133098563533e-05,3.729859557895765e-05,-3.561446641443697e-05,1.7544738557138677e-06,-4.763493478672775e-05,-2.6126973371815712e-06,-5.877786711285821e-05,-6.0474961419115656e-05,-5.5795960934328464e-05,-4.6648821791528644e-05,2.6674910954145883e-05,6.683311406516385e-05
002594.SZ,0.00010765189804314579,6.401717491281337e-05,9.231468644608565e-05,-0.00010557199723238817,-2.3775516278482102e-05,0.0002537139255017059,7.479669901334185e-05,8.655886985109482e-05,3.5424606751565005e-05,4.635741138792903e-05,2.642062902673925e-05,-8.287552416485323e-06,5.1467627825618696e-05,8.683023744030949e-05,7.149551352812172e-05,-3.420374701328652e-05,6.602094975907814e-05,3.1420091829319045e-05,1.7098736001331378e-05,-0.00012734883109197579
300750.SZ,-2.1818574235800766e-06,3.015154745754383e-05,2.280823965219063e-05,-0.00018113331549524163,4.831473984411913e-06,7.479669901334185e-05,0.0004200234208667451,3.782878631513969e-05,9.272051498895062e-05,-1.738353274181658e-05,6.210402700236943e-05,0.00012733582643942608,6.784987493860088e-05,2.958792203151994e-05,-7.873665297437818e-06,-3.0555783273257826e-05,8.817410714369377e-05,1.6997959814645128e-05,3.6124497862779494e-05,-0.00024313765570869956
600019.SH,0.00018150877584045342,0.00017446894642895888,0.00017638074699908817,-0.00015949889232164805,-4.6386467823593374e-05,8.655886985109482e-05,3.782878631513969e-05,0.0002402971420538525,8.346656540434618e-05,0.00011917727272269568,0.00017562153885704649,0.0001308083190475142,0.00018363094463521706,0.0001560575206818562,0.00015538482008848085,3.985605988850021e-05,0.00023102831713610024,0.00013464257707604952,3.64519521200257e-06,-0.0002723885843278172
600030.SH,8.744008798500194e-05,0.0001026063166017174,5.1019608899391676e-05,-7.829905070834551e-05,-3.2117133098563533e-05,3.5424606751565005e-05,9.272051498895062e-05,8.346656540434618e-05,0.0002755295928676367,3.794885107125225e-05,8.14767376586516e-05,9.578406495495702e-05,7.849312829995132e-05,7.473336155766272e-05,2.2010502585730565e-05,5.496289767433378e-05,5.348349833234264e-05,0.00013447283495191846,-6.939873002996613e-05,-0.0001627360973922687
600050.SH,0.0001497564501621629,0.0001285865830402585,0.00011843718410051263,-0.00013611324680368352,3.729859557895765e-05,4.635741138792903e-05,-1.738353274181658e-05,0.00011917727272269568,3.794885107125225e-05,0.0003329043224915355,2.075439201764784e-05,4.345425639133061e-05,0.00011670247806363822,0.00011779286271768848,0.00014728743616863608,3.888653122177594e-05,0.00021664770739008066,7.348238181210647e-05,-4.8646990848506374e-05,-0.0002779815869798585
600276.SH,0.0001561950165291614,0.00017774627083975983,0.00016783208032791685,-0.00022669254340936486,-3.561446641443697e-05,2.642062902673925e-05,6.210402700236943e-05,0.00017562153885704649,8.14767376586516e-05,2.075439201764784e-05,0.0005525899613214214,0.00010745430895456204,0.00024766972678531076,6.306431283883197e-05,0.00012752042273253891,3.066264747781721e-05,0.00016588871958474145,0.00011408461547373791,1.5139787525399012e-05,-0.00028509656245268445
600309.SH,0.00011051665278029803,7.734869482097e-05,7.815568750354773e-05,-7.798425495756053e-05,1.7544738557138677e-06,-8.287552416485323e-06,0.00012733582643942608,0.0001308083190475142,9.578406495495702e-05,4.345425639133061e-05,0.00010745430895456204,0.000534720508285804,0.00010325962248519109,0.00014935051485083606,8.856114268004399e-05,-4.635559547813066e-06,0.0002445722529377752,0.00010337909644345643,0.00012879495973037013,-0.0002067455442949822
600519.SH,0.00018836406178445006,0.00016221115837216428,0.00017972786983384907,-0.00018306064713226932,-4.763493478672775e-05,5.1467627825618696e-05,6.784987493860088e-05,0.00018363094463521706,7.849312829995132e-05,0.00011670247806363822,0.00024766972678531076,0.00010325962248519109,0.00031310396608095115,0.00012470015294897369,0.0001960383305692973,4.280859846590067e-05,0.00031147106863759427,0.00014600359026499453,-5.2182856188123345e-05,-0.0002767323248058269
600760.SH,0.00016926451035234973,0.00017746105251249285,9.324385047080396e-05,-0.00011854284385631147,-2.6126973371815712e-06,8.683023744030949e-05,2.958792203151994e-05,0.0001560575206818562,7.473336155766272e-05,0.00011779286271768848,6.306431283883197e-05,0.00014935051485083606,0.00012470015294897369,0.000483592241042433,0.0001785850619784395,0.00010611220117323511,0.00018608039225508918,7.400851252637129e-05,1.1629760275866424e-05,-0.0003164867127163977
600900.SH,0.00020745328522628697,0.00015840000881337812,0.0001775334280812375,-8.840933533864649e-05,-5.877786711285821e-05,7.149551352812172e-05,-7.873665297437818e-06,0.00015538482008848085,2.2010502585730565e-05,0.00014728743616863608,0.00012752042273253891,8.856114268004399e-05,0.0001960383305692973,0.0001785850619784395,0.00025594893145625635,3.123703521335148e-05,0.00033756746642599254,8.062677965045208e-05,-6.091924952784159e-05,-0.00023357013579473519
601012.SH,2.6616951502653358e-05,7.893592508969844e-05,-4.98973377634656e-06,-3.413231329582953e-05,-6.0474961419115656e-05,-3.420374701328652e-05,-3.0555783273257826e-05,3.985605988850021e-05,5.496289767433378e-05,3.888653122177594e-05,3.066264747781721e-05,-4.635559547813066e-06,4.280859846590067e-05,0.00010611220117323511,3.123703521335148e-05,0.00041557882896475513,-2.0029913220535736e-05,3.637829928257334e-05,-5.574826518816829e-05,2.9264343588021336e-05
601225.SH,0.00026221639318567717,0.00018530885358871533,0.00026553329065126085,-0.00023281373698753747,-5.5795960934328464e-05,6.602094975907814e-05,8.817410714369377e-05,0.00023102831713610024,5.348349833234264e-05,0.00021664770739008066,0.00016588871958474145,0.0002445722529377752,0.00031147106863759427,0.00018608039225508918,0.00033756746642599254,-2.0029913220535736e-05,0.0008227523266463328,0.0001257001501053767,-0.00015436939834747215,-0.00030712986170009876
601318.SH,0.00015182186620791877,0.00014709346432684932,0.00011217203204033371,-0.0001083550588855878,-4.6648821791528644e-05,3.1420091829319045e-05,1.6997959814645128e-05,0.00013464257707604952,0.00013447283495191846,7.348238181210647e-05,0.00011408461547373791,0.00010337909644345643,0.00014600359026499453,7.400851252637129e-05,8.062677965045208e-05,3.637829928257334e-05,0.0001257001501053767,0.00026605759439839253,9.938144161986983e-05,-0.00021696569246534535
601899.SH,-4.568035088742468e-05,2.4232491305931324e-05,-5.632675330811176e-05,2.8448693542210372e-05,2.6674910954145883e-05,1.7098736001331378e-05,3.6124497862779494e-05,3.64519521200257e-06,-6.939873002996613e-05,-4.8646990848506374e-05,1.5139787525399012e-05,0.00012879495973037013,-5.2182856188123345e-05,1.1629760275866424e-05,-6.091924952784159e-05,-5.574826518816829e-05,-0.00015436939834747215,9.938144161986983e-05,0.0006022355899650888,-0.000199640283844887
688981.SH,-0.0002596493009466288,-0.0002541547830551235,-0.00024787207803020155,2.8920079997539566e-05,6.683311406516385e-05,-0.00012734883109197579,-0.00024313765570869956,-0.0002723885843278172,-0.0001627360973922687,-0.0002779815869798585,-0.00028509656245268445,-0.0002067455442949822,-0.0002767323248058269,-0.0003164867127163977,-0.00023357013579473519,2.9264343588021336e-05,-0.00030712986170009876,-0.00021696569246534535,-0.000199640283844887,0.0015016874276385238
