req_id	object_id	group_name	field_name	field_role	required	source_anchor	acceptance_anchor	degrade_anchor	note
A_REQ_002	A_REQ_002_P0_A	meta	object_id	object_identity	yes	A_REQ_002_最小因子字段表	A_REQ_002_对象卡验收例	no_degrade	固定对象标识
A_REQ_002	A_REQ_002_P0_A	meta	factor_date	effective_date	yes	A_REQ_002_最小因子字段表	A_REQ_002_对象卡验收例	use_report_date_if_price_date_missing	联合有效日期
A_REQ_002	A_REQ_002_P0_A	meta	industry_name	classification	yes	A_REQ_002_最小因子字段表	A_REQ_002_对象卡验收例	use_unknown_industry	仅影响行业解释
A_REQ_002	A_REQ_002_P0_A	input_raw	price_per_share	valuation_input	no	A_REQ_002_最小因子字段表	A_REQ_002_对象卡验收例	as_needed_for_value_metrics	估值输入
A_REQ_002	A_REQ_002_P0_A	input_raw	market_cap	valuation_input	no	A_REQ_002_最小因子字段表	A_REQ_002_对象卡验收例	as_needed_for_value_metrics	估值输入
A_REQ_002	A_REQ_002_P0_A	input_raw	eps_ttm	valuation_input	no	A_REQ_002_最小因子字段表	A_REQ_002_对象卡验收例	set_na_if_eps_ttm_le_0	估值输入
A_REQ_002	A_REQ_002_P0_A	input_raw	revenue_ttm	valuation_input	no	A_REQ_002_最小因子字段表	A_REQ_002_对象卡验收例	set_na_if_revenue_ttm_le_0	估值输入
A_REQ_002	A_REQ_002_P0_A	input_raw	book_value_per_share_or_net_asset	valuation_input	no	A_REQ_002_最小因子字段表	A_REQ_002_对象卡验收例	set_na_if_book_value_le_0	估值输入
A_REQ_002	A_REQ_002_P0_A	input_raw	revenue_current	financial_input	yes	A_REQ_002_对象卡验收例	A_REQ_002_对象卡验收例	set_na_if_prior_revenue_eq_0	营收当前期
A_REQ_002	A_REQ_002_P0_A	input_raw	revenue_prior	financial_input	yes	A_REQ_002_对象卡验收例	A_REQ_002_对象卡验收例	set_na_if_prior_revenue_eq_0	营收上期
A_REQ_002	A_REQ_002_P0_A	input_raw	net_profit_current	financial_input	yes	A_REQ_002_对象卡验收例	A_REQ_002_对象卡验收例	set_na_if_prior_net_profit_eq_0	净利润当前期
A_REQ_002	A_REQ_002_P0_A	input_raw	net_profit_prior	financial_input	yes	A_REQ_002_对象卡验收例	A_REQ_002_对象卡验收例	set_na_if_prior_net_profit_eq_0	净利润上期
A_REQ_002	A_REQ_002_P0_A	input_raw	shareholders_equity_current	financial_input	yes	A_REQ_002_对象卡验收例	A_REQ_002_对象卡验收例	use_end_equity_and_mark_degraded_if_avg_missing	权益当前期
A_REQ_002	A_REQ_002_P0_A	input_raw	shareholders_equity_prior	financial_input	yes	A_REQ_002_对象卡验收例	A_REQ_002_对象卡验收例	use_end_equity_and_mark_degraded_if_avg_missing	权益上期
A_REQ_002	A_REQ_002_P0_A	input_raw	total_assets	financial_input	yes	A_REQ_002_最小因子字段表	A_REQ_002_对象卡验收例	set_na_if_total_assets_le_0	资产总额
A_REQ_002	A_REQ_002_P0_A	input_raw	total_liabilities	financial_input	yes	A_REQ_002_最小因子字段表	A_REQ_002_对象卡验收例	set_na_if_total_assets_le_0	负债总额
A_REQ_002	A_REQ_002_P0_A	input_raw	operating_cashflow_net	financial_input	yes	A_REQ_002_最小因子字段表	A_REQ_002_对象卡验收例	use_zero_only_if_report_explicit_zero	经营现金流净额
A_REQ_002	A_REQ_002_P0_A	factor	value_pe_ttm	derived_factor	no	A_REQ_002_最小因子字段表	A_REQ_002_对象卡验收例	set_na_if_eps_ttm_le_0	value 因子
A_REQ_002	A_REQ_002_P0_A	factor	value_pb_lf	derived_factor	no	A_REQ_002_最小因子字段表	A_REQ_002_对象卡验收例	set_na_if_book_value_le_0	value 因子
A_REQ_002	A_REQ_002_P0_A	factor	value_ps_ttm	derived_factor	no	A_REQ_002_最小因子字段表	A_REQ_002_对象卡验收例	set_na_if_revenue_ttm_le_0	value 因子
A_REQ_002	A_REQ_002_P0_A	factor	quality_roe_avg	derived_factor	yes	A_REQ_002_最小因子字段表	A_REQ_002_对象卡验收例	use_end_equity_and_mark_degraded_if_avg_missing	quality 因子
A_REQ_002	A_REQ_002_P0_A	factor	quality_debt_to_asset	derived_factor	yes	A_REQ_002_最小因子字段表	A_REQ_002_对象卡验收例	set_na_if_total_assets_le_0	quality 因子
A_REQ_002	A_REQ_002_P0_A	factor	growth_revenue_yoy	derived_factor	yes	A_REQ_002_最小因子字段表	A_REQ_002_对象卡验收例	set_na_if_prior_revenue_eq_0	growth 因子
A_REQ_002	A_REQ_002_P0_A	factor	growth_net_profit_yoy	derived_factor	yes	A_REQ_002_最小因子字段表	A_REQ_002_对象卡验收例	set_na_if_prior_net_profit_eq_0	growth 因子
A_REQ_002	A_REQ_002_P0_A	factor	cashflow_operating_cf_net	derived_factor	yes	A_REQ_002_最小因子字段表	A_REQ_002_对象卡验收例	use_zero_only_if_report_explicit_zero	cashflow 因子
A_REQ_002	A_REQ_002_P0_A	factor	cashflow_ocf_to_net_profit	derived_factor	no	A_REQ_002_最小因子字段表	A_REQ_002_对象卡验收例	set_na_if_net_profit_eq_0	cashflow 因子
A_REQ_002	A_REQ_002_P0_A	final_output	valuation_factor_confidence	confidence_score	yes	A_REQ_002_最小因子字段表	A_REQ_002_对象卡验收例	decrease_if_any_core_field_degraded	最终置信度
A_REQ_003	A_REQ_003_P0_R	meta	object_id	object_identity	yes	A_REQ_003_字段映射表	A_REQ_003_最小验收口径	no_degrade	固定对象标识
A_REQ_003	A_REQ_003_P0_R	meta	portfolio_date	effective_date	yes	A_REQ_003_字段映射表	A_REQ_003_最小验收口径	use_snapshot_date	组合计算日期
A_REQ_003	A_REQ_003_P0_R	optimizer	benchmark_id	optimizer_input	no	A_REQ_003_字段映射表	A_REQ_003_最小验收口径	empty_if_nonbenchmark_mode	基准输入
A_REQ_003	A_REQ_003_P0_R	optimizer	alpha_score	optimizer_input	yes	A_REQ_003_字段映射表	A_REQ_003_最小验收口径	abort_if_missing	核心收益输入
A_REQ_003	A_REQ_003_P0_R	optimizer	covariance_model_id	optimizer_input	no	A_REQ_003_字段映射表	A_REQ_003_最小验收口径	fallback_to_equal_or_value_weight	协方差输入
A_REQ_003	A_REQ_003_P0_R	optimizer	tracking_error_limit	optimizer_input	no	A_REQ_003_字段映射表	A_REQ_003_最小验收口径	use_default_policy_cap	TE 约束
