trade_date,symbol,asset_return_1d,asset_close,asset_pre_close,asset_universe_id
20250912,000001.SZ,-0.010970464135021007,11.72,11.85,a5_top_liquid_20
20250912,000002.SZ,0.016105417276720324,6.94,6.83,a5_top_liquid_20
20250912,000651.SZ,-0.007735073724921437,41.05,41.37,a5_top_liquid_20
20250912,000725.SZ,0.0024038461538460343,4.17,4.16,a5_top_liquid_20
20250912,002230.SZ,-0.00038842493688096,51.47,51.49,a5_top_liquid_20
20250912,002594.SZ,-0.006379585326953818,105.91,106.59,a5_top_liquid_20
20250912,300750.SZ,0.0075957215935513744,325.0,322.55,a5_top_liquid_20
20250912,600019.SH,-0.004249291784702458,7.03,7.06,a5_top_liquid_20
20250912,600030.SH,-0.018133860863831064,29.78,30.33,a5_top_liquid_20
20250912,600050.SH,-0.01559792027729634,5.68,5.77,a5_top_liquid_20
20250912,600276.SH,0.01054327134280264,69.01,68.29,a5_top_liquid_20
20250912,600309.SH,-0.009352623118515258,67.79,68.43,a5_top_liquid_20
20250912,600519.SH,-0.004922874958976031,1516.0,1523.5,a5_top_liquid_20
20250912,600760.SH,-0.010027192386131922,58.25,58.84,a5_top_liquid_20
20250912,600900.SH,-0.0025000000000000577,27.93,28.0,a5_top_liquid_20
20250912,601012.SH,-0.0092592592592593,17.12,17.28,a5_top_liquid_20
20250912,601225.SH,0.001981178801386818,20.23,20.19,a5_top_liquid_20
20250912,601318.SH,-0.017209064576588773,57.68,58.69,a5_top_liquid_20
20250912,601899.SH,-0.002333722287047979,25.65,25.71,a5_top_liquid_20
20250912,688981.SH,-0.01686615886833509,108.42,110.28,a5_top_liquid_20
20250915,000001.SZ,-0.005972696245733822,11.65,11.72,a5_top_liquid_20
20250915,000002.SZ,0.004322766570605152,6.97,6.94,a5_top_liquid_20
20250915,000651.SZ,-0.0026796589524968883,40.94,41.05,a5_top_liquid_20
20250915,000725.SZ,-0.0023980815347721673,4.16,4.17,a5_top_liquid_20
20250915,002230.SZ,0.002525743151350346,51.6,51.47,a5_top_liquid_20
20250915,002594.SZ,0.02634312151827034,108.7,105.91,a5_top_liquid_20
20250915,300750.SZ,0.0913846153846154,354.7,325.0,a5_top_liquid_20
20250915,600019.SH,-0.002844950213371278,7.01,7.03,a5_top_liquid_20
20250915,600030.SH,-0.006380120886501084,29.59,29.78,a5_top_liquid_20
20250915,600050.SH,-0.017605633802816878,5.58,5.68,a5_top_liquid_20
20250915,600276.SH,0.0013041588175624064,69.1,69.01,a5_top_liquid_20
20250915,600309.SH,-0.0007375719132617364,67.74,67.79,a5_top_liquid_20
20250915,600519.SH,-0.0005936675461741814,1515.1,1516.0,a5_top_liquid_20
20250915,600760.SH,0.002403433476394934,58.39,58.25,a5_top_liquid_20
20250915,600900.SH,-0.0046544933762978635,27.8,27.93,a5_top_liquid_20
20250915,601012.SH,0.002336448598130758,17.16,17.12,a5_top_liquid_20
20250915,601225.SH,0.007909045971329798,20.39,20.23,a5_top_liquid_20
20250915,601318.SH,-0.0060679611650485965,57.33,57.68,a5_top_liquid_20
20250915,601899.SH,-0.005847953216374213,25.5,25.65,a5_top_liquid_20
20250915,688981.SH,0.0022136137244050946,108.66,108.42,a5_top_liquid_20
20250916,000001.SZ,-0.0008583690987123971,11.64,11.65,a5_top_liquid_20
20250916,000002.SZ,0.010043041606886627,7.04,6.97,a5_top_liquid_20
20250916,000651.SZ,-0.010747435271128425,40.5,40.94,a5_top_liquid_20
20250916,000725.SZ,-0.007211538461538547,4.13,4.16,a5_top_liquid_20
20250916,002230.SZ,0.012984496124031075,52.27,51.6,a5_top_liquid_20
20250916,002594.SZ,-0.008279668813247487,107.8,108.7,a5_top_liquid_20
20250916,300750.SZ,-0.0036086833944177776,353.42,354.7,a5_top_liquid_20
20250916,600019.SH,-0.011412268188302432,6.93,7.01,a5_top_liquid_20
20250916,600030.SH,-0.010476512335248378,29.28,29.59,a5_top_liquid_20
20250916,600050.SH,0.0,5.58,5.58,a5_top_liquid_20
20250916,600276.SH,0.0007235890014474222,69.15,69.1,a5_top_liquid_20
20250916,600309.SH,-0.016681428993209235,66.61,67.74,a5_top_liquid_20
20250916,600519.SH,-0.00997953930433626,1499.98,1515.1,a5_top_liquid_20
20250916,600760.SH,-0.008563110121596162,57.89,58.39,a5_top_liquid_20
20250916,600900.SH,-0.0025179856115108423,27.73,27.8,a5_top_liquid_20
