code,name,exchange,ticker,board,tradable,n_bars,last_date,last_close,ret_5d,ret_20d,vol_20d_ann,max_dd_60d,avg_amount_20d,clean_csv
603045,福达合金,SH,603045.SH,SH_MAIN,True,565,2026-05-08,62.14,0.550012471938139,1.1803508771929825,0.7385253131143008,-0.19439679817038302,260942199.7395,data\ashare_clean\603045_SH_1d.csv
002929,润建股份,SZ,002929.SZ,SZ_MAIN,True,565,2026-05-08,78.23,0.4228810476536924,0.6497258540700126,0.9162254125042504,-0.16909174452442954,1262940143.7944999,data\ashare_clean\002929_SZ_1d.csv
002655,共达电声,SZ,002655.SZ,SZ_MAIN,True,565,2026-05-08,39.39,0.4113221067717665,1.0720673329826407,0.5389184173697094,-0.09186496956281132,1254033054.1875002,data\ashare_clean\002655_SZ_1d.csv
601991,大唐发电,SH,601991.SH,SH_MAIN,True,565,2026-05-08,5.54,0.3712871287128714,0.48525469168900814,0.6213285390470806,-0.21729957805907174,1081810478.1455002,data\ashare_clean\601991_SH_1d.csv
605006,山东玻纤,SH,605006.SH,SH_MAIN,True,565,2026-05-08,14.87,0.34814143245693563,0.6075675675675676,0.8241396622100009,-0.2693693693693694,574312853.881,data\ashare_clean\605006_SH_1d.csv
600130,波导股份,SH,600130.SH,SH_MAIN,True,565,2026-05-08,6.15,0.3369565217391306,0.4369158878504673,0.5926440613790862,-0.12631578947368416,129325911.8355,data\ashare_clean\600130_SH_1d.csv
603278,大业股份,SH,603278.SH,SH_MAIN,True,565,2026-05-08,14.91,0.30332167832167833,0.40793201133144485,0.8000454734521424,-0.2003105590062112,350379326.446,data\ashare_clean\603278_SH_1d.csv
600936,北投科技,SH,600936.SH,SH_MAIN,True,565,2026-05-08,5.17,0.2989949748743719,0.2925,0.5448913347561279,-0.18805309734513265,119806858.25750001,data\ashare_clean\600936_SH_1d.csv
603738,泰晶科技,SH,603738.SH,SH_MAIN,True,565,2026-05-08,47.01,0.2986187845303865,0.9393564356435644,0.8750722641508489,-0.09720670391061459,1875241116.94,data\ashare_clean\603738_SH_1d.csv
603618,杭电股份,SH,603618.SH,SH_MAIN,True,565,2026-05-08,37.62,0.2945629731589814,0.3990330978058756,0.9440152099421518,-0.2411372411372411,2366003481.8194995,data\ashare_clean\603618_SH_1d.csv
603459,红板科技,SH,603459.SH,SH_MAIN,True,20,2026-05-08,81.05,0.28671217653595793,,,-0.14019507934197106,1991461231.8164997,data\ashare_clean\603459_SH_1d.csv
002930,宏川智慧,SZ,002930.SZ,SZ_MAIN,True,565,2026-05-08,16.04,0.27707006369426734,0.214231642694928,0.629777777035959,-0.15541922290388543,187961823.146,data\ashare_clean\002930_SZ_1d.csv
603636,南威软件,SH,603636.SH,SH_MAIN,True,565,2026-05-08,11.11,0.266818700114025,0.24551569506726456,0.5545340126240156,-0.24200518582541064,85893299.18649998,data\ashare_clean\603636_SH_1d.csv
000720,新能泰山,SZ,000720.SZ,SZ_MAIN,True,565,2026-05-08,5.69,0.26164079822616415,-0.12863705972434913,0.8199908892194827,-0.32686567164179114,868063968.9690001,data\ashare_clean\000720_SZ_1d.csv
002552,宝鼎科技,SZ,002552.SZ,SZ_MAIN,True,565,2026-05-08,27.65,0.2579617834394903,0.6706948640483381,0.6099455531995932,-0.28215962441314557,341860690.149,data\ashare_clean\002552_SZ_1d.csv
002031,巨轮智能,SZ,002031.SZ,SZ_MAIN,True,565,2026-05-08,7.06,0.25177304964539005,0.20890410958904115,0.5723190788107896,-0.28517110266159695,328259720.50600004,data\ashare_clean\002031_SZ_1d.csv
002491,通鼎互联,SZ,002491.SZ,SZ_MAIN,True,565,2026-05-08,20.66,0.24758454106280214,0.4949348769898698,0.9969438716722262,-0.2553359683794467,3072365460.377,data\ashare_clean\002491_SZ_1d.csv
002317,众生药业,SZ,002317.SZ,SZ_MAIN,True,565,2026-05-08,22.54,0.19196192490745623,0.20534759358288768,0.569946451597073,-0.14954221770091558,592785621.0605,data\ashare_clean\002317_SZ_1d.csv
