trade_date,symbol,asset_return_1d,asset_close,asset_pre_close,asset_universe_id
20260401,000001.SZ,0.00631768953068601,11.15,11.08,a5_top_liquid_20
20260401,000002.SZ,0.012531328320801949,4.04,3.99,a5_top_liquid_20
20260401,000651.SZ,0.005288207297726055,38.02,37.82,a5_top_liquid_20
20260401,000725.SZ,0.025575447570332477,4.01,3.91,a5_top_liquid_20
20260401,002230.SZ,0.017312270071413005,47.01,46.21,a5_top_liquid_20
20260401,002594.SZ,-0.02470308788598574,102.65,105.25,a5_top_liquid_20
20260401,300750.SZ,0.009982574060243943,405.71,401.7,a5_top_liquid_20
20260401,600019.SH,0.010920436817472678,6.48,6.41,a5_top_liquid_20
20260401,600030.SH,0.01955074875208007,24.51,24.04,a5_top_liquid_20
20260401,600050.SH,0.006741573033707926,4.48,4.45,a5_top_liquid_20
20260401,600276.SH,0.045454545454545414,57.73,55.22,a5_top_liquid_20
20260401,600309.SH,0.043045940843297714,82.87,79.45,a5_top_liquid_20
20260401,600519.SH,0.0065103448275862785,1459.44,1450.0,a5_top_liquid_20
20260401,600760.SH,-0.0016293279022402407,49.02,49.1,a5_top_liquid_20
20260401,600900.SH,-0.00591715976331364,26.88,27.04,a5_top_liquid_20
20260401,601012.SH,0.019954389965792574,17.89,17.54,a5_top_liquid_20
20260401,601225.SH,-0.008206330597889888,25.38,25.59,a5_top_liquid_20
20260401,601318.SH,0.024656569214512203,58.18,56.78,a5_top_liquid_20
20260401,601899.SH,0.04370415647921755,34.15,32.72,a5_top_liquid_20
20260401,688981.SH,0.024242424242424176,96.33,94.05,a5_top_liquid_20
20260402,000001.SZ,0.010762331838565009,11.27,11.15,a5_top_liquid_20
20260402,000002.SZ,-0.02970297029702973,3.92,4.04,a5_top_liquid_20
20260402,000651.SZ,-0.004471330878485058,37.85,38.02,a5_top_liquid_20
20260402,000725.SZ,-0.014962593516209433,3.95,4.01,a5_top_liquid_20
20260402,002230.SZ,-0.024037438842799297,45.88,47.01,a5_top_liquid_20
20260402,002594.SZ,-0.009741841207988267,101.65,102.65,a5_top_liquid_20
20260402,300750.SZ,-0.011190259052032192,401.17,405.71,a5_top_liquid_20
20260402,600019.SH,-0.006172839506172867,6.44,6.48,a5_top_liquid_20
20260402,600030.SH,-0.015503875968992387,24.13,24.51,a5_top_liquid_20
20260402,600050.SH,-0.011160714285714413,4.43,4.48,a5_top_liquid_20
20260402,600276.SH,-0.006235925861770353,57.37,57.73,a5_top_liquid_20
20260402,600309.SH,-0.0019307348859660678,82.71,82.87,a5_top_liquid_20
20260402,600519.SH,0.00030148550128816787,1459.88,1459.44,a5_top_liquid_20
20260402,600760.SH,-0.014687882496940197,48.3,49.02,a5_top_liquid_20
20260402,600900.SH,0.004836309523809534,27.01,26.88,a5_top_liquid_20
20260402,601012.SH,-0.029625489100055913,17.36,17.89,a5_top_liquid_20
20260402,601225.SH,0.014578408195429438,25.75,25.38,a5_top_liquid_20
20260402,601318.SH,-0.015812994156067406,57.26,58.18,a5_top_liquid_20
20260402,601899.SH,-0.030161054172767265,33.12,34.15,a5_top_liquid_20
20260402,688981.SH,-0.03249247378802034,93.2,96.33,a5_top_liquid_20
20260403,000001.SZ,-0.013309671694764935,11.12,11.27,a5_top_liquid_20
20260403,000002.SZ,-0.025510204081632626,3.82,3.92,a5_top_liquid_20
20260403,000651.SZ,-0.010039630118890419,37.47,37.85,a5_top_liquid_20
20260403,000725.SZ,-0.005063291139240533,3.93,3.95,a5_top_liquid_20
20260403,002230.SZ,-0.0034873583260680574,45.72,45.88,a5_top_liquid_20
20260403,002594.SZ,-0.025971470732907065,99.01,101.65,a5_top_liquid_20
